province,city,todayConfirm,nowConfirm,confirm,suspect,dead,heal,deadRate,healRate
山西,朔州,0,0,8,0,0,8,0.00,100.00
山西,临汾,0,0,2,0,0,2,0.00,100.00
山西,阳泉,0,0,4,0,0,4,0.00,100.00
山西,吕梁,0,0,6,0,0,6,0.00,100.00
福建,境外输入,0,0,60,0,0,60,0.00,100.00
福建,莆田,0,0,56,0,0,56,0.00,100.00
福建,漳州,0,0,20,0,0,20,0.00,100.00
福建,地区待确认,0,0,0,0,0,0,0.00,0.00
福建,宁德,0,0,26,0,0,26,0.00,100.00
福建,龙岩,0,0,6,0,0,6,0.00,100.00
福建,南平,0,0,20,0,0,20,0.00,100.00
福建,三明,0,0,14,0,0,14,0.00,100.00
福建,泉州,0,0,47,0,0,47,0.00,100.00
福建,厦门,0,0,35,0,0,35,0.00,100.00
福建,福州,0,0,72,0,1,71,1.39,98.61
浙江,境外输入,0,0,50,0,0,50,0.00,100.00
浙江,省十里丰监狱,0,0,36,0,0,36,0.00,100.00
浙江,丽水,0,0,17,0,0,17,0.00,100.00
浙江,台州,0,0,146,0,0,146,0.00,100.00
浙江,舟山,0,0,10,0,0,10,0.00,100.00
浙江,衢州,0,0,14,0,0,14,0.00,100.00
浙江,金华,0,0,55,0,0,55,0.00,100.00
浙江,绍兴,0,0,42,0,0,42,0.00,100.00
浙江,嘉兴,0,0,46,0,0,46,0.00,100.00
浙江,湖州,0,0,10,0,0,10,0.00,100.00
浙江,温州,0,0,504,0,1,503,0.20,99.80
浙江,宁波,0,0,157,0,0,157,0.00,100.00
浙江,杭州,0,0,181,0,0,181,0.00,100.00
贵州,境外输入,0,0,1,0,0,1,0.00,100.00
贵州,贵阳,0,0,36,0,1,35,2.78,97.22
贵州,遵义,0,0,32,0,0,32,0.00,100.00
贵州,六盘水,0,0,10,0,1,9,10.00,90.00
贵州,毕节,0,0,23,0,0,23,0.00,100.00
贵州,黔南州,0,0,17,0,0,17,0.00,100.00
贵州,安顺,0,0,4,0,0,4,0.00,100.00
贵州,黔东南州,0,0,10,0,0,10,0.00,100.00
贵州,铜仁,0,0,10,0,0,10,0.00,100.00
贵州,黔西南州,0,0,4,0,0,4,0.00,100.00
江苏,境外输入,0,0,22,0,0,22,0.00,100.00
